x1 x2 z
1 179.077348445741 1
0 167.733187747588 1
1 198.227485939608 1
1 188.627237922133 1
1 166.179693062931 1
1 172.131859741708 0
0 168.703737362808 1
1 193.62784876584 1
1 128.847596330147 0
0 125.092582505065 0
1 175.748964794347 1
0 140.870220517317 0
0 162.131631594933 1
1 170.190305780897 0
0 144.681212869636 0
1 190.146222847534 0
1 206.933355359601 1
1 171.710917809397 1
1 184.247440612383 1
0 147.854823044165 0
1 194.030767967966 1
0 151.921892910142 0
1 152.300017421105 0
1 136.81040440038 0
1 172.677612327234 0
1 156.305918549645 1
1 175.833343551176 1
1 208.819295157894 1
0 142.390531608792 1
1 188.20206249664 1
1 210.939240995616 1
1 155.391690294931 1
0 143.112988634061 0
0 147.406316907762 0
0 153.426494515232 0
0 157.582850233954 0
0 129.315254498845 0
1 213.437365549675 1
1 167.397443395311 1
1 154.965538352751 1
0 169.372475006067 0
1 200.068755754056 1
0 136.437354088908 0
0 163.084510075977 1
1 168.441632963532 1
0 144.117078092527 0
1 181.829058005824 0
0 109.047036370748 0
1 166.467627786083 1
1 196.788875319485 1
1 163.465365091744 0
1 185.480891007256 1
0 135.224637117497 0
1 201.5507795439 1
1 186.710243566547 1
0 137.413468113813 0
0 198.755053215852 1
1 175.753969552637 1
0 166.61309699441 1
0 136.016209445575 0
1 152.777398144122 0
1 188.049691087961 1
1 199.473408387309 1
0 153.168572239387 1
1 174.083936652436 1
0 104.301982409318 0
1 205.155485078228 1
1 149.069798974826 0
0 170.183034347022 1
1 159.279503419591 1
1 219.545324166566 1
0 145.289401212217 1
0 162.37850297374 1
0 143.574155783758 0
1 183.61466140879 1
0 154.556644590062 0
1 198.40935520569 1
0 147.301519380779 0
1 164.094293745893 0
0 138.484235737462 0
0 167.87455083355 0
0 143.760364677431 0
0 121.921411534041 0
0 135.0911312383 0
0 140.165568498167 1
0 152.140214099187 0
1 169.214384873144 0
0 133.572184453828 0
1 169.315314477486 0
0 154.560345218335 0
0 127.161096267584 0
0 156.71711600351 1
1 166.596579110966 0
1 177.858767884448 1
1 184.757520031418 1
0 180.333002668032 0
0 165.46508778426 0
1 164.592759309288 0
0 154.491365025269 0
0 121.192128405928 0
0 151.264329387672 1
1 183.118687482866 1
1 157.592568125889 1
1 182.726236408922 1
1 156.96081657928 1
1 160.31613378957 1
1 161.348737937088 0
0 150.563090196342 0
1 180.373242271556 1
1 174.936821373392 0
0 106.148180968224 0
0 142.628136021739 1
0 180.621725678352 1
1 176.0564705718 1
1 177.982792211749 0
1 174.575763188981 1
1 151.498193185244 0
0 118.857877246686 0
1 168.935895582276 1
0 120.915823394103 0
0 141.342120640715 0
1 166.835435678623 0
0 154.146918795713 1
1 167.726974416375 1
0 137.588836291914 0
0 161.954034154678 0
0 125.620965685418 0
1 153.776706193421 0
0 135.527995143017 0
0 129.119942910716 0
1 180.761150532026 1
1 200.641377308573 1
1 185.587634847312 1
1 205.663074191903 1
0 159.763811017702 0
0 152.564085950078 0
1 193.24471740765 1
1 177.668979756279 1
1 207.929600683422 1
1 158.333277517479 0
0 151.9504900293 0
1 193.741330766903 1
1 134.48073546289 0
1 210.405332817504 1
1 169.11172598822 0
0 162.537931224242 1
1 182.714501128646 1
0 118.556267193029 0
0 193.997558228376 1
0 150.74441148005 1
1 176.943231963581 1
0 140.424221182528 0
1 145.711617790963 0
0 132.667972803872 0
0 161.826145255682 1
0 155.879684733518 1
0 159.497420300029 1
1 207.387148776328 1
0 153.671754283028 0
1 166.159678464308 1
0 146.553344342116 0
0 142.719887767744 1
1 198.454287810213 1
1 194.533039932222 1
1 187.82392128935 1
1 140.882631190219 1
1 206.723477030797 1
1 190.862983547754 1
1 177.409199412032 0
0 148.188086705493 1
1 209.022433062777 1
1 155.321527963545 0
0 134.469613541112 0
1 167.733220075635 0
1 176.777056076502 1
1 144.615922691988 0
0 99.2563501624974 0
1 182.656124402657 1
1 167.804208929262 1
