MID,IncidentID,SourceName,Date,SourceInfo
3551,3551001,NYT,,(Schafer)
3551,3551001,Glasgow Herald,1/12/93,1/12/93 p1
3551,3551001,AP,1/20/93,1/20/93
3551,3551001,WTIMS,1/16/93,1/16/93 pA7
3551,3551003,XGNS,2/10/93,2/10/93
3551,3551003,AP,2/10/93,2/10/93
3551,3551004,AP,2/4/93,2/4/93
3551,3551004,TSTAR,2/5/93,2/5/93 pA18
3551,3551005,FACTS,1503,p150C3
3551,3551006,Christian Science Monitor,4/13/93,4/13/93 p6
3551,3551006,PANEWS,6/10/93,6/10/93
3551,3551006,Glasgow Herald,6/11/93,6/11/93 p7
3551,3551006,UPI,4/14/93,4/14/93
3551,3551006,AP,4/14/93,4/14/93
3551,3551006,PANEWS,6/11/93,6/11/93
3551,3551008,UPI,10/18/93,10/18/93
3551,3551008,BBC,10/21/93,10/21/93
3551,3551001,The Washington Post,7/16/92,"""Western naval forces cooperate in watch on Yugoslav coast"""
3551,3551001,FNS-federal information systems corp. ,7/16/92,"""Defense dept: regular briefing. Briefer: Bob Hall"""
3551,3551001,UPI-Washington News,11/17/92,"""US to consult with NATO on blockade of Serbia"""
3551,3551001,UPI-International,11/18/92,"""NATO ships authorized to enforce Yugoslav naval blockade"""
3551,3551001,The Herald (Glasgow),11/18/92,"""Naval blockade 'in force soon'"""
3551,3551002,The Times,11/21/92,"""Western allies order full naval blockade"""
3551,3551002,The Toronto Star,11/23/92,"""Ships halted as blockade enforced off Yugoslavia"""
3551,3551007,Associated Press,4/26/93,d4/26/1993
3551,3551007,London Times,4/27/93,d4/27/1993; p. 1c
3551,3551002,KEES,1993,"1993, vol. 39, no. 1, 39279"
3551,3551002,LONFT,1/15/93,"1/15/93, p. 7"
3551,3551002,The Guardian,1/15/93,"1/15/93, p. 22"
3551,3551002,NYT,1/15/93,"1/15/93, p. A6"
3551,3551002,LONTIMS,1/11/93,"1/11/93, p. 1"
3551,3551002,LONTIMS,1/15/93,"1/15/93, p. 1"
3552,3552002,PANEWS,1/6/93,1/6/93
3552,3552002,AFP,1/6/93,1/6/93
3552,3552002,LONTIMS,1/7/93,1/7/93
3552,3552002,ITIMES,1/7/93,1/7/93 p6
3552,3552002,LONDT,1/7/93,1/7/93 p1
3552,*,Xinhua News Agency,7/7/92,"""Item 0727029 (load date July 28 1992)"""
3552,*,UPI,7/7/92,"""Bush bolsters military in Gulf"""
3552,*,The Associated Press,7/7/92,"""Bush gets bipartisan support on Iraq policy"""
3552,3552005,The Associated Press,12/28/92,"""Iraq warns retaliation for shooting down of jet"""
3552,3552004,UPI,8/21/92,"""Iraq condemns proposed no-fly zone as 'imperialist scheme'"""
3552,3552004,The New York Times,8/27/92,"""Iraq says it is ready to fight allies over air zone"""
3552,3552004,The New York Times,8/27/92,"""US and allies say flight ban in Iraq will start today"""
3552,3552002,The Toronto Star,8/2/92,"""Kuwaiti forces on alert as US exercises start"""
3552,3552003,UPI,8/3/92,"""US conducts three Gulf military exercises in show of force"""
3552,3552003,CNN,8/3/92,"""'Earger Amce' military exercises beginning in the Gulf"""
3552,3552023,"Lexis-Nexis, Xinhua General Overseas News, ",29-Jun-93,Item 0629131
3552,3552011,Lexis-Nexis,1/16/93,"AP, January 16, 1993, International News, AM Cycle"
3552,3552008,Lexis-Nexis,1/13/93,"Inter Press Service, January 13, 1993"
3552,3552006,Lexis-Nexis,1/12/93,"Press Association, January 12, 1993, Parliamentary News"
3552,3552003,LONTIMS,1/8/93,1/8/93
3552,3552015,BBC,1/17/93,1/17/93
3552,3552025,AFP,7/11/93,7/11/93
3552,3552025,AP,7/11/93,7/11/93
